Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,0.93192000,0.93244000,0.92905000,0.92983000,85228,1.00000000,0.93423538,0.94455405,0.95733250,0.97166698,0.88979439,0.90311760,0.91533547,0.92544539
2019,6,6,0.93458000,0.93670000,0.93192000,0.93202000,79637,1.00235527,0.93643576,0.94677873,0.95958728,0.97395552,0.89189009,0.90524468,0.91749133,0.92762506
2019,6,5,0.93612000,0.93742000,0.93393000,0.93477000,79038,1.00295058,0.93919879,0.94957228,0.96241862,0.97682926,0.89452169,0.90791568,0.92019846,0.93036210
2019,6,4,0.93742000,0.93941000,0.93543000,0.93622000,85270,1.00155118,0.94065566,0.95104524,0.96391150,0.97834450,0.89590925,0.90932402,0.92162586,0.93180526
2019,6,3,0.93647000,0.93954000,0.93626000,0.93747000,86441,1.00133516,0.94191158,0.95231504,0.96519848,0.97965074,0.89710543,0.91053811,0.92285637,0.93304936
2019,5,31,0.93292000,0.93901000,0.93261000,0.93744000,62257,0.99996800,0.94188144,0.95228456,0.96516759,0.97961939,0.89707672,0.91050898,0.92282684,0.93301951
2019,5,30,0.93497000,0.93662000,0.93164000,0.93292000,73938,0.99517836,0.93734002,0.94769299,0.96051390,0.97489602,0.89275134,0.90611883,0.91837730,0.92852082
2019,5,29,0.93390000,0.93676000,0.93302000,0.93492000,63650,1.00214381,0.93934950,0.94972466,0.96257305,0.97698600,0.89466523,0.90806137,0.92034612,0.93051139
2019,5,28,0.92953000,0.93444000,0.92951000,0.93390000,38812,0.99890900,0.93832467,0.94868850,0.96152288,0.97592011,0.89368915,0.90707067,0.91934202,0.92949620
2019,5,27,0.93105000,0.93229000,0.92910000,0.92982000,59261,0.99563122,0.93422534,0.94454390,0.95732221,0.97165653,0.88978482,0.90310789,0.91532563,0.92543544
2019,5,24,0.92967000,0.93174000,0.92729000,0.93094000,63822,1.00120453,0.93535064,0.94568163,0.95847533,0.97282693,0.89085659,0.90419571,0.91642817,0.92655016
2019,5,23,0.92427000,0.92971000,0.92329000,0.92947000,56436,0.99842095,0.93387368,0.94418835,0.95696185,0.97129079,0.88944989,0.90276794,0.91498108,0.92508709
2019,5,22,0.92267000,0.92482000,0.92009000,0.92427000,62147,0.99440541,0.92864904,0.93890601,0.95160805,0.96585682,0.88447378,0.89771733,0.90986214,0.91991161
2019,5,21,0.92742000,0.92987000,0.92125000,0.92262000,56343,0.99821481,0.92699122,0.93722988,0.94990924,0.96413258,0.88289483,0.89611473,0.90823786,0.91826939
2019,5,20,0.92886000,0.93123000,0.92627000,0.92742000,67638,1.00520258,0.93181397,0.94210589,0.95485122,0.96914855,0.88748815,0.90077683,0.91296304,0.92304675
2019,5,17,0.92752000,0.92984000,0.92295000,0.92459000,55449,0.99694852,0.92897056,0.93923108,0.95193751,0.96619121,0.88478001,0.89802813,0.91017715,0.92023010
2019,5,16,0.93082000,0.93155000,0.92616000,0.92747000,66284,1.00311489,0.93186420,0.94215668,0.95490270,0.96920080,0.88753600,0.90082540,0.91301226,0.92309652
2019,5,15,0.93467000,0.93510000,0.93009000,0.93082000,60701,1.00361198,0.93523007,0.94555973,0.95835178,0.97270153,0.89074176,0.90407916,0.91631004,0.92643072
2019,5,14,0.93537000,0.93730000,0.93414000,0.93467000,69568,1.00413614,0.93909831,0.94947070,0.96231566,0.97672476,0.89442599,0.90781855,0.92010002,0.93026257
2019,5,13,0.93813000,0.93981000,0.93469000,0.93557000,85738,1.00096291,0.94000258,0.95038495,0.96324228,0.97766525,0.89528724,0.90869270,0.92098599,0.93115832
2019,5,10,0.94172000,0.94312000,0.93735000,0.93909000,73050,1.00376241,0.94353926,0.95396069,0.96686639,0.98134363,0.89865568,0.91211157,0.92445112,0.93466172
2019,5,9,0.94162000,0.94289000,0.93924000,0.94172000,67204,1.00280058,0.94618172,0.95663234,0.96957418,0.98409197,0.90117244,0.91466602,0.92704012,0.93727932
2019,5,8,0.94457000,0.94562000,0.94144000,0.94167000,67815,0.99994691,0.94613148,0.95658154,0.96952270,0.98403972,0.90112459,0.91461746,0.92699090,0.93722956
2019,5,7,0.93953000,0.94556000,0.93723000,0.94457000,63170,1.00307964,0.94904522,0.95952747,0.97250848,0.98707020,0.90389973,0.91743414,0.92984570,0.94011588
2019,5,6,0.93782000,0.94301000,0.93676000,0.93977000,54583,0.99491832,0.94422248,0.95465146,0.96756651,0.98205423,0.89930640,0.91277204,0.92512052,0.93533852
2019,5,3,0.94278000,0.94314000,0.94053000,0.94279000,54731,1.00321355,0.94725679,0.95771928,0.97067583,0.98521011,0.90219637,0.91570528,0.92809344,0.93834428
2019,5,2,0.94282000,0.94496000,0.94114000,0.94302000,50120,1.00024396,0.94748788,0.95795292,0.97091263,0.98545046,0.90241647,0.91592867,0.92831986,0.93857319
2019,5,1,0.94347000,0.94585000,0.94184000,0.94277000,54611,0.99973489,0.94723669,0.95769896,0.97065524,0.98518921,0.90217723,0.91568585,0.92807376,0.93832437
2019,4,30,0.94942000,0.95090000,0.94344000,0.94347000,39679,1.00074249,0.94794001,0.95841005,0.97137594,0.98592071,0.90284709,0.91636574,0.92876284,0.93902107
2019,4,29,0.94687000,0.95025000,0.94683000,0.94937000,59616,1.00625351,0.95386796,0.96440347,0.97745045,0.99208617,0.90849306,0.92209625,0.93457087,0.94489325
2019,4,26,0.94578000,0.95005000,0.94469000,0.94784000,51022,0.99838840,0.95233071,0.96284925,0.97587520,0.99048733,0.90702893,0.92061020,0.93306472,0.94337046
2019,4,25,0.94537000,0.94759000,0.94376000,0.94587000,65570,0.99792159,0.95035138,0.96084805,0.97384693,0.98842869,0.90514375,0.91869680,0.93112543,0.94140975
2019,4,24,0.95312000,0.95365000,0.94447000,0.94612000,50388,1.00026431,0.95060256,0.96110201,0.97410433,0.98868994,0.90538299,0.91893961,0.93137153,0.94165857
2019,4,23,0.95226000,0.95400000,0.95016000,0.95312000,32613,1.00739864,0.95763573,0.96821286,0.98131137,0.99600490,0.91208159,0.92573852,0.93826242,0.94862557
2019,4,22,0.95698000,0.95749000,0.95136000,0.95187000,20469,0.99868852,0.95637981,0.96694306,0.98002440,0.99469866,0.91088541,0.92452443,0.93703190,0.94738146
2019,4,19,0.95647000,0.95752000,0.95514000,0.95704000,58543,1.00543141,0.96157430,0.97219493,0.98534732,1.00010128,0.91583281,0.92954590,0.94212131,0.95252708
2019,4,18,0.95682000,0.96055000,0.95519000,0.95602000,65243,0.99893421,0.96054947,0.97115878,0.98429715,0.99903538,0.91485673,0.92855520,0.94111721,0.95151189
2019,4,17,0.95727000,0.96140000,0.95514000,0.95752000,62122,1.00156900,0.96205657,0.97268253,0.98584152,1.00060287,0.91629214,0.93001211,0.94259383,0.95300482
2019,4,16,0.95901000,0.95956000,0.95585000,0.95762000,58832,1.00010444,0.96215705,0.97278412,0.98594447,1.00070737,0.91638784,0.93010924,0.94269227,0.95310435
2019,4,15,0.95724000,0.96015000,0.95424000,0.95872000,64336,1.00114868,0.96326226,0.97390153,0.98707701,1.00185687,0.91744047,0.93117764,0.94377512,0.95419916
2019,4,12,0.95292000,0.95812000,0.95184000,0.95569000,59306,0.99683954,0.96021790,0.97082355,0.98395739,0.99869053,0.91454094,0.92823469,0.94079235,0.95118345
2019,4,11,0.95442000,0.95648000,0.95207000,0.95327000,63202,0.99746780,0.95778644,0.96836523,0.98146581,0.99616165,0.91222513,0.92588421,0.93841008,0.94877486
2019,4,10,0.94927000,0.95546000,0.94796000,0.95482000,57554,1.00162598,0.95934378,0.96993978,0.98306165,0.99778139,0.91370840,0.92738968,0.93993592,0.95031755
2019,4,9,0.94861000,0.95101000,0.94773000,0.94937000,54260,0.99429212,0.95386796,0.96440347,0.97745045,0.99208617,0.90849306,0.92209625,0.93457087,0.94489325
2019,4,8,0.95054000,0.95121000,0.94811000,0.94872000,56500,0.99931534,0.95321488,0.96374318,0.97678123,0.99140693,0.90787104,0.92146492,0.93393101,0.94424631
2019,4,5,0.94983000,0.95494000,0.94910000,0.95094000,59377,1.00233999,0.95544540,0.96599834,0.97906689,0.99372681,0.90999546,0.92362114,0.93611640,0.94645585
2019,4,4,0.94897000,0.95094000,0.94829000,0.94992000,62996,0.99892738,0.95442057,0.96496218,0.97801672,0.99266092,0.90901937,0.92263045,0.93511230,0.94544066
2019,4,3,0.94287000,0.94989000,0.94146000,0.94880000,62633,0.99882095,0.95329526,0.96382445,0.97686360,0.99149052,0.90794760,0.92154262,0.93400976,0.94432594
2019,4,2,0.94612000,0.94883000,0.94148000,0.94282000,54871,0.99369730,0.94728693,0.95774975,0.97070672,0.98524146,0.90222508,0.91573442,0.92812298,0.93837414
2019,4,1,0.94997000,0.95233000,0.94595000,0.94627000,56780,1.00365924,0.95075327,0.96125439,0.97425876,0.98884669,0.90552653,0.91908531,0.93151920,0.94180787
2019,3,29,0.95035000,0.95339000,0.94648000,0.94757000,62766,1.00137382,0.95205943,0.96257497,0.97559721,0.99020518,0.90677056,0.92034796,0.93279893,0.94310174
2019,3,28,0.94942000,0.95276000,0.94855000,0.95027000,65473,1.00284939,0.95477222,0.96531773,0.97837708,0.99302667,0.90935430,0.92297039,0.93545684,0.94578901
