Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,0.69154000,0.69321000,0.69000000,0.69090000,82616,1.00000000,0.69429205,0.70226524,0.71216959,0.72329060,0.65995993,0.67026565,0.67971869,0.68752452
2019,6,6,0.69314000,0.69463000,0.69000000,0.69153000,77547,1.00091185,0.69492515,0.70290561,0.71281898,0.72395013,0.66056172,0.67087683,0.68033849,0.68815144
2019,6,5,0.69336000,0.69504000,0.68962000,0.69314000,77795,1.00232817,0.69654305,0.70454209,0.71447855,0.72563561,0.66209962,0.67243875,0.68192244,0.68975357
2019,6,4,0.69239000,0.69486000,0.69066000,0.69338000,80591,1.00034625,0.69678423,0.70478604,0.71472593,0.72588686,0.66232887,0.67267158,0.68215855,0.68999240
2019,6,3,0.69309000,0.69598000,0.69109000,0.69239000,80527,0.99857221,0.69578937,0.70377975,0.71370546,0.72485045,0.66138320,0.67171115,0.68118457,0.68900724
2019,5,31,0.69654000,0.69709000,0.69366000,0.69405000,54531,1.00239749,0.69745752,0.70546706,0.71541656,0.72658827,0.66296886,0.67332157,0.68281771,0.69065913
2019,5,30,0.69719000,0.69990000,0.69563000,0.69653000,61917,1.00357323,0.69994970,0.70798786,0.71797291,0.72918454,0.66533780,0.67572750,0.68525757,0.69312701
2019,5,29,0.69725000,0.69785000,0.69477000,0.69719000,54959,1.00094755,0.70061294,0.70865871,0.71865323,0.72987548,0.66596825,0.67636779,0.68590689,0.69378379
2019,5,28,0.69398000,0.69938000,0.69398000,0.69749000,36119,1.00043030,0.70091441,0.70896365,0.71896246,0.73018955,0.66625481,0.67665883,0.68620204,0.69408232
2019,5,27,0.69358000,0.69671000,0.69348000,0.69426000,55078,0.99536911,0.69766855,0.70568052,0.71563303,0.72680812,0.66316946,0.67352530,0.68302431,0.69086810
2019,5,24,0.69206000,0.69443000,0.69007000,0.69393000,63849,0.99952467,0.69733693,0.70534509,0.71529287,0.72646265,0.66285424,0.67320515,0.68269965,0.69053971
2019,5,23,0.69459000,0.69488000,0.69083000,0.69206000,50612,0.99730520,0.69545775,0.70344433,0.71336530,0.72450498,0.66106798,0.67139100,0.68085991,0.68867885
2019,5,22,0.69579000,0.69658000,0.69318000,0.69470000,59957,1.00381470,0.69811071,0.70612775,0.71608657,0.72726875,0.66358976,0.67395216,0.68345719,0.69130595
2019,5,21,0.69648000,0.69885000,0.69393000,0.69586000,53195,1.00166979,0.69927641,0.70730684,0.71728228,0.72848313,0.66469781,0.67507751,0.68459842,0.69246028
2019,5,20,0.69811000,0.70075000,0.69607000,0.69648000,59654,1.00089098,0.69989945,0.70793703,0.71792137,0.72913220,0.66529004,0.67567900,0.68520838,0.69307726
2019,5,17,0.69580000,0.69657000,0.69346000,0.69426000,55641,0.99681254,0.69766855,0.70568052,0.71563303,0.72680812,0.66316946,0.67352530,0.68302431,0.69086810
2019,5,16,0.69865000,0.69924000,0.69474000,0.69579000,61462,1.00220379,0.69920606,0.70723568,0.71721013,0.72840985,0.66463094,0.67500960,0.68452955,0.69239063
2019,5,15,0.70026000,0.70045000,0.69609000,0.69875000,59028,1.00425416,0.70218060,0.71024438,0.72026125,0.73150862,0.66745839,0.67788120,0.68744165,0.69533617
2019,5,14,0.69880000,0.70138000,0.69748000,0.70028000,70250,1.00218962,0.70371811,0.71179954,0.72183835,0.73311035,0.66891987,0.67936551,0.68894688,0.69685869
2019,5,13,0.70672000,0.70817000,0.69770000,0.69879000,82755,0.99787228,0.70222079,0.71028503,0.72030248,0.73155049,0.66749660,0.67792001,0.68748100,0.69537597
2019,5,10,0.70904000,0.71279000,0.70646000,0.70784000,73611,1.01295096,0.71131522,0.71948391,0.72963109,0.74102477,0.67614132,0.68669972,0.69638454,0.70438175
2019,5,9,0.71282000,0.71378000,0.70585000,0.70923000,70114,1.00196372,0.71271205,0.72089677,0.73106388,0.74247994,0.67746907,0.68804821,0.69775204,0.70576496
2019,5,8,0.71453000,0.71607000,0.71145000,0.71282000,69231,1.00506183,0.71631967,0.72454583,0.73476440,0.74623824,0.68089830,0.69153099,0.70128394,0.70933742
2019,5,7,0.71135000,0.71656000,0.70933000,0.71461000,61883,1.00251115,0.71811846,0.72636527,0.73660951,0.74811216,0.68260814,0.69326753,0.70304497,0.71111868
2019,5,6,0.70768000,0.71272000,0.70688000,0.71136000,53676,0.99545206,0.71485251,0.72306181,0.73325946,0.74470980,0.67950368,0.69011459,0.69984757,0.70788456
2019,5,3,0.71248000,0.71481000,0.71200000,0.71377000,56210,1.00338788,0.71727434,0.72551145,0.73574365,0.74723278,0.68180576,0.69245262,0.70221857,0.71028278
2019,5,2,0.71382000,0.71641000,0.71184000,0.71343000,50228,0.99952366,0.71693267,0.72516586,0.73539318,0.74687684,0.68148098,0.69212277,0.70188407,0.70994444
2019,5,1,0.71816000,0.71914000,0.71293000,0.71382000,51993,1.00054665,0.71732458,0.72556228,0.73579519,0.74728513,0.68185352,0.69250112,0.70226776,0.71033254
2019,4,30,0.71928000,0.72034000,0.71669000,0.71821000,38640,1.00615001,0.72173614,0.73002449,0.74032033,0.75188094,0.68604692,0.69676001,0.70658671,0.71470109
2019,4,29,0.71699000,0.72021000,0.71674000,0.71928000,56125,1.00148981,0.72281139,0.73111209,0.74142327,0.75300110,0.68706901,0.69779805,0.70763939,0.71576586
2019,4,26,0.71550000,0.71956000,0.71491000,0.71806000,54525,0.99830386,0.72158540,0.72987202,0.74016572,0.75172390,0.68590364,0.69661449,0.70643914,0.71455182
2019,4,25,0.71514000,0.71645000,0.71394000,0.71570000,61049,0.99671337,0.71921381,0.72747320,0.73773306,0.74925326,0.68364933,0.69432497,0.70411733,0.71220335
2019,4,24,0.72418000,0.72432000,0.71451000,0.71544000,48195,0.99963672,0.71895254,0.72720892,0.73746506,0.74898107,0.68340097,0.69407274,0.70386154,0.71194462
2019,4,23,0.72445000,0.72600000,0.72284000,0.72420000,26969,1.01224421,0.72775555,0.73611303,0.74649474,0.75815176,0.69176868,0.70257111,0.71247977,0.72066183
2019,4,22,0.72474000,0.72551000,0.72344000,0.72413000,30471,0.99990334,0.72768520,0.73604187,0.74642258,0.75807848,0.69170181,0.70250320,0.71241090,0.72059217
2019,4,19,0.72570000,0.72602000,0.72444000,0.72530000,57967,1.00161573,0.72886095,0.73723112,0.74762860,0.75930333,0.69281942,0.70363826,0.71356197,0.72175645
2019,4,18,0.72456000,0.72727000,0.72320000,0.72592000,60740,1.00085482,0.72948399,0.73786132,0.74826769,0.75995239,0.69341165,0.70423974,0.71417193,0.72237342
2019,4,17,0.72255000,0.72635000,0.72091000,0.72542000,61744,0.99931122,0.72898153,0.73735309,0.74775230,0.75942895,0.69293404,0.70375468,0.71368003,0.72187587
2019,4,16,0.72004000,0.72300000,0.71674000,0.72288000,53821,0.99649858,0.72642906,0.73477131,0.74513410,0.75676987,0.69050779,0.70129054,0.71118113,0.71934827
2019,4,15,0.71900000,0.72085000,0.71753000,0.72001000,60229,0.99602977,0.72354497,0.73185410,0.74217575,0.75376532,0.68776632,0.69850625,0.70835758,0.71649230
2019,4,12,0.71390000,0.71972000,0.71367000,0.71904000,55646,0.99865280,0.72257021,0.73086814,0.74117589,0.75274985,0.68683976,0.69756522,0.70740328,0.71552704
2019,4,11,0.71867000,0.71885000,0.71407000,0.71458000,66933,0.99379729,0.71808831,0.72633478,0.73657858,0.74808076,0.68257948,0.69323842,0.70301546,0.71108883
2019,4,10,0.71221000,0.71902000,0.71118000,0.71866000,57917,1.00570965,0.72218835,0.73048189,0.74078419,0.75235203,0.68647677,0.69719657,0.70702943,0.71514889
2019,4,9,0.71172000,0.71452000,0.71102000,0.71204000,48586,0.99078841,0.71553584,0.72375299,0.73396039,0.74542168,0.68015323,0.69077428,0.70051656,0.70856124
2019,4,8,0.71035000,0.71232000,0.70772000,0.71166000,52634,0.99946632,0.71515398,0.72336674,0.73356869,0.74502386,0.67979025,0.69040563,0.70014271,0.70818309
2019,4,5,0.71063000,0.71295000,0.70947000,0.71055000,55720,0.99844027,0.71403853,0.72223848,0.73242452,0.74386182,0.67872996,0.68932878,0.69905068,0.70707851
2019,4,4,0.70983000,0.71197000,0.70854000,0.71059000,56803,1.00005629,0.71407873,0.72227914,0.73246575,0.74390370,0.67876817,0.68936759,0.69909003,0.70711832
2019,4,3,0.70524000,0.71074000,0.70414000,0.70977000,52614,0.99884603,0.71325470,0.72144565,0.73162051,0.74304525,0.67798489,0.68857208,0.69828330,0.70630233
2019,4,2,0.70996000,0.71187000,0.70431000,0.70524000,49247,0.99361765,0.70870246,0.71684114,0.72695105,0.73830288,0.67365775,0.68417737,0.69382661,0.70179446
2019,4,1,0.70794000,0.71103000,0.70691000,0.71004000,58453,1.00680619,0.71352603,0.72172010,0.73189882,0.74332791,0.67824280,0.68883401,0.69854893,0.70657101
2019,3,29,0.70406000,0.70788000,0.70287000,0.70619000,59948,0.99457777,0.70965712,0.71780676,0.72793029,0.73929742,0.67456521,0.68509900,0.69476124,0.70273982
2019,3,28,0.70466000,0.70717000,0.70358000,0.70406000,65220,0.99698381,0.70751667,0.71564172,0.72573472,0.73706756,0.67253059,0.68303261,0.69266571,0.70062022
2019,3,27,0.70925000,0.70978000,0.70307000,0.70466000,56866,1.00085220,0.70811961,0.71625159,0.72635319,0.73769569,0.67310372,0.68361469,0.69325600,0.70121729
2019,3,26,0.70567000,0.71048000,0.70501000,0.70925000,51861,1.00651378,0.71273215,0.72091710,0.73108450,0.74250088,0.67748817,0.68806761,0.69777172,0.70578487
2019,3,25,0.70303000,0.70596000,0.70229000,0.70571000,72356,0.99500881,0.70917477,0.71731887,0.72743552,0.73879491,0.67410670,0.68463333,0.69428901,0.70226216
2019,3,22,0.70527000,0.70721000,0.70308000,0.70320000,68798,0.99644330,0.70665244,0.71476758,0.72484825,0.73616724,0.67170911,0.68219830,0.69181963,0.69976442
2019,3,21,0.70607000,0.71009000,0.70419000,0.70531000,60027,1.00300057,0.70877280,0.71691229,0.72702320,0.73837616,0.67372462,0.68424528,0.69389548,0.70186412
2019,3,20,0.70812000,0.70926000,0.70550000,0.70613000,49873,1.00116261,0.70959683,0.71774578,0.72786845,0.73923460,0.67450789,0.68504079,0.69470221,0.70268011
2019,3,19,0.71096000,0.71168000,0.70781000,0.70817000,47221,1.00288899,0.71164684,0.71981933,0.72997125,0.74137024,0.67645654,0.68701986,0.69670920,0.70471014
2019,3,18,0.70999000,0.71295000,0.70925000,0.71104000,50321,1.00405270,0.71453093,0.72273654,0.73292960,0.74437479,0.67919801,0.68980415,0.69953275,0.70756612
2019,3,15,0.70890000,0.71145000,0.70870000,0.71004000,55959,0.99859361,0.71352603,0.72172010,0.73189882,0.74332791,0.67824280,0.68883401,0.69854893,0.70657101
2019,3,14,0.71179000,0.71205000,0.70729000,0.70890000,52711,0.99839446,0.71238043,0.72056134,0.73072372,0.74213447,0.67715385,0.68772806,0.69742738,0.70543658
2019,3,13,0.71345000,0.71350000,0.70988000,0.71188000,54764,1.00420370,0.71537506,0.72359036,0.73379546,0.74525418,0.68000040,0.69061906,0.70035915,0.70840202
2019,3,12,0.71417000,0.71494000,0.71212000,0.71345000,48418,1.00220543,0.71695277,0.72518619,0.73541380,0.74689778,0.68150009,0.69214217,0.70190375,0.70996435
2019,3,11,0.70801000,0.71516000,0.70801000,0.71421000,57259,1.00106525,0.71771650,0.72595869,0.73619719,0.74769341,0.68222605,0.69287947,0.70265145,0.71072063
2019,3,8,0.70929000,0.71053000,0.70686000,0.71004000,57747,0.99416138,0.71352603,0.72172010,0.73189882,0.74332791,0.67824280,0.68883401,0.69854893,0.70657101
2019,3,7,0.70620000,0.71078000,0.70483000,0.70938000,55839,0.99907047,0.71286278,0.72104924,0.73121850,0.74263697,0.67761235,0.68819373,0.69789961,0.70591423
2019,3,6,0.71085000,0.71235000,0.70477000,0.70643000,52816,0.99584144,0.70989830,0.71805071,0.72817768,0.73954867,0.67479446,0.68533183,0.69499736,0.70297864
2019,3,5,0.70784000,0.71196000,0.70612000,0.71085000,56843,1.00625681,0.71434000,0.72254342,0.73273375,0.74417589,0.67901652,0.68961982,0.69934582,0.70737705
2019,3,4,0.70899000,0.71020000,0.70715000,0.70816000,50428,0.99621580,0.71163679,0.71980917,0.72996094,0.74135977,0.67644699,0.68701016,0.69669936,0.70470019
2019,3,1,0.70781000,0.71082000,0.70663000,0.70708000,61328,0.99847492,0.71055149,0.71871140,0.72884769,0.74022914,0.67541535,0.68596242,0.69563684,0.70362547
