Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,0.69748000,0.69996000,0.69635000,0.69932000,64017,1.00000000,0.70269184,0.71062256,0.72047959,0.73154935,0.66851055,0.67878184,0.68819721,0.69596434
2019,6,6,0.69672000,0.69939000,0.69625000,0.69754000,59390,0.99745467,0.70090326,0.70881379,0.71864573,0.72968732,0.66680897,0.67705412,0.68644552,0.69419288
2019,6,5,0.69897000,0.70069000,0.69619000,0.69679000,57918,0.99892479,0.70014964,0.70805167,0.71787304,0.72890275,0.66609201,0.67632615,0.68570745,0.69344648
2019,6,4,0.69762000,0.70034000,0.69553000,0.69902000,58360,1.00320039,0.70239040,0.71031771,0.72017051,0.73123553,0.66822377,0.67849065,0.68790198,0.69566578
2019,6,3,0.69272000,0.69819000,0.69267000,0.69763000,59704,0.99801150,0.70099369,0.70890524,0.71873845,0.72978147,0.66689501,0.67714148,0.68653409,0.69428245
2019,5,31,0.69105000,0.69435000,0.69004000,0.69336000,40986,0.99387928,0.69670311,0.70456623,0.71433925,0.72531468,0.66281313,0.67299688,0.68233201,0.69003294
2019,5,30,0.69163000,0.69362000,0.68982000,0.69107000,46148,0.99669724,0.69440206,0.70223922,0.71197997,0.72291914,0.66062402,0.67077413,0.68007843,0.68775393
2019,5,29,0.69215000,0.69310000,0.69036000,0.69162000,41437,1.00079587,0.69495472,0.70279811,0.71254661,0.72349449,0.66114979,0.67130798,0.68061968,0.68830129
2019,5,28,0.69141000,0.69351000,0.69141000,0.69219000,26386,1.00082415,0.69552746,0.70337732,0.71313385,0.72409076,0.66169467,0.67186124,0.68118061,0.68886855
2019,5,27,0.69287000,0.69380000,0.69124000,0.69162000,39590,0.99917653,0.69495472,0.70279811,0.71254661,0.72349449,0.66114979,0.67130798,0.68061968,0.68830129
2019,5,24,0.68986000,0.69340000,0.68806000,0.69279000,47052,1.00169168,0.69613036,0.70398702,0.71375201,0.72471841,0.66226824,0.67244362,0.68177107,0.68946567
