Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,0.74176000,0.74478000,0.74126000,0.74298000,61017,1.00000000,0.74660905,0.75513924,0.76573541,0.77763320,0.70987103,0.72090081,0.73101655,0.73936859
2019,6,6,0.74139000,0.74295000,0.73855000,0.74181000,62253,0.99842526,0.74543334,0.75395009,0.76452958,0.77640863,0.70875316,0.71976558,0.72986539,0.73820428
2019,6,5,0.74041000,0.74218000,0.73649000,0.74141000,59536,0.99946078,0.74503138,0.75354354,0.76411732,0.77598998,0.70837099,0.71937747,0.72947183,0.73780622
2019,6,4,0.73834000,0.74135000,0.73735000,0.74041000,65546,0.99865122,0.74402650,0.75252718,0.76308670,0.77494334,0.70741555,0.71840719,0.72848793,0.73681108
2019,6,3,0.73977000,0.74239000,0.73627000,0.73846000,64958,0.99736632,0.74206697,0.75054527,0.76107697,0.77290239,0.70555245,0.71651514,0.72656933,0.73487056
2019,5,31,0.74622000,0.74667000,0.73927000,0.74023000,42139,1.00239688,0.74384562,0.75234423,0.76290118,0.77475494,0.70724357,0.71823254,0.72831083,0.73663196
2019,5,30,0.74550000,0.74846000,0.74484000,0.74650000,54404,1.00847034,0.75014624,0.75871684,0.76936322,0.78131738,0.71323417,0.72431621,0.73447987,0.74287148
2019,5,29,0.74648000,0.74700000,0.74337000,0.74550000,48973,0.99866042,0.74914136,0.75770048,0.76833259,0.78027074,0.71227873,0.72334593,0.73349597,0.74187634
2019,5,28,0.74619000,0.74923000,0.74478000,0.74646000,26318,1.00128773,0.75010605,0.75867619,0.76932199,0.78127551,0.71319595,0.72427740,0.73444052,0.74283167
2019,5,27,0.74479000,0.74836000,0.74462000,0.74635000,45788,0.99985264,0.74999551,0.75856439,0.76920862,0.78116038,0.71309085,0.72417067,0.73433229,0.74272221
2019,5,24,0.74456000,0.74633000,0.74328000,0.74528000,55528,0.99856636,0.74892029,0.75747688,0.76810585,0.78004048,0.71206853,0.72313247,0.73327952,0.74165741
2019,5,23,0.75136000,0.75155000,0.74323000,0.74457000,44405,0.99904734,0.74820682,0.75675526,0.76737411,0.77929736,0.71139017,0.72244356,0.73258095,0.74095086
2019,5,22,0.75396000,0.75490000,0.75067000,0.75141000,46214,1.00918651,0.75508023,0.76370720,0.77442360,0.78645639,0.71792536,0.72908030,0.73931081,0.74775761
2019,5,21,0.75071000,0.75474000,0.75033000,0.75411000,41657,1.00359324,0.75779341,0.76645139,0.77720629,0.78928232,0.72050505,0.73170006,0.74196733,0.75044449
2019,5,20,0.75125000,0.75354000,0.75017000,0.75076000,50396,0.99555768,0.75442705,0.76304656,0.77375369,0.78577607,0.71730433,0.72844962,0.73867128,0.74711077
2019,5,17,0.75002000,0.75248000,0.74750000,0.75069000,41461,0.99990676,0.75435671,0.76297542,0.77368155,0.78570281,0.71723745,0.72838170,0.73860240,0.74704111
2019,5,16,0.75040000,0.75295000,0.74938000,0.75002000,48942,0.99910749,0.75368344,0.76229445,0.77299103,0.78500156,0.71659731,0.72773161,0.73794319,0.74637437
