Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,1.61591000,1.61862000,1.61446000,1.61742000,107472,1.00000000,1.62518416,1.64343043,1.66609202,1.69153599,1.54655146,1.57016985,1.59182123,1.60969294
2019,6,6,1.60968000,1.61782000,1.60754000,1.61590000,112065,0.99906023,1.62365686,1.64188599,1.66452628,1.68994634,1.54509806,1.56869426,1.59032529,1.60818020
2019,6,5,1.60921000,1.61498000,1.60814000,1.60972000,111618,0.99617551,1.61744719,1.63560661,1.65816031,1.68348315,1.53918884,1.56269479,1.58424310,1.60202972
2019,6,4,1.61095000,1.61597000,1.60778000,1.60930000,114313,0.99973909,1.61702518,1.63517985,1.65772767,1.68304390,1.53878724,1.56228706,1.58382975,1.60161173
2019,6,3,1.61006000,1.61347000,1.60675000,1.61095000,115912,1.00102529,1.61868310,1.63685639,1.65942732,1.68476951,1.54036495,1.56388886,1.58545363,1.60325385
2019,5,31,1.61005000,1.61443000,1.60689000,1.61036000,86300,0.99963376,1.61809026,1.63625690,1.65881957,1.68415248,1.53980080,1.56331610,1.58487297,1.60266667
2019,5,30,1.60899000,1.61240000,1.60498000,1.61006000,96791,0.99981371,1.61778882,1.63595207,1.65851054,1.68383873,1.53951394,1.56302486,1.58457772,1.60236810
2019,5,29,1.61066000,1.61387000,1.60863000,1.60898000,89009,0.99932922,1.61670364,1.63485470,1.65739804,1.68270924,1.53848127,1.56197641,1.58351481,1.60129326
2019,5,28,1.61714000,1.61811000,1.61149000,1.61150000,55882,1.00156621,1.61923574,1.63741523,1.65999387,1.68534472,1.54089085,1.56442279,1.58599493,1.60380122
2019,5,27,1.61654000,1.61872000,1.61527000,1.61777000,84719,1.00389078,1.62553584,1.64378606,1.66645255,1.69190203,1.54688612,1.57050963,1.59216569,1.61004127
2019,5,24,1.62029000,1.62466000,1.61628000,1.61715000,96019,0.99961676,1.62491286,1.64315609,1.66581389,1.69125362,1.54629329,1.56990774,1.59155551,1.60942423
2019,5,23,1.62026000,1.62375000,1.61740000,1.62029000,80812,1.00194169,1.62806793,1.64634659,1.66904838,1.69453750,1.54929571,1.57295601,1.59464581,1.61254923
2019,5,22,1.62106000,1.62376000,1.61940000,1.62025000,92665,0.99997531,1.62802774,1.64630594,1.66900718,1.69449567,1.54925746,1.57291718,1.59460644,1.61250942
2019,5,21,1.61637000,1.62515000,1.61227000,1.62106000,82189,1.00049992,1.62884163,1.64712897,1.66984155,1.69534279,1.55003197,1.57370351,1.59540362,1.61331555
2019,5,20,1.61419000,1.62000000,1.60959000,1.61635000,92933,0.99709449,1.62410902,1.64234322,1.66498982,1.69041696,1.54552834,1.56913111,1.59076817,1.60862805
2019,5,17,1.62101000,1.62615000,1.62025000,1.62459000,87244,1.00509791,1.63238857,1.65071574,1.67347778,1.69903455,1.55340730,1.57713039,1.59887775,1.61682868
2019,5,16,1.61663000,1.62510000,1.61607000,1.62105000,95495,0.99782099,1.62883158,1.64711881,1.66983125,1.69533233,1.55002241,1.57369381,1.59539378,1.61330560
2019,5,15,1.61332000,1.62041000,1.61268000,1.61663000,91790,0.99727337,1.62439036,1.64262773,1.66527825,1.69070979,1.54579607,1.56940293,1.59104374,1.60890671
2019,5,14,1.61580000,1.61951000,1.61264000,1.61332000,101033,0.99795253,1.62106447,1.63926450,1.66186864,1.68724811,1.54263110,1.56618963,1.58778612,1.60561252
2019,5,13,1.60508000,1.61878000,1.60337000,1.61580000,122212,1.00153720,1.62355638,1.64178438,1.66442327,1.68984176,1.54500244,1.56859718,1.59022687,1.60808068
2019,5,10,1.60433000,1.60835000,1.60032000,1.60517000,112077,0.99342122,1.61287535,1.63098343,1.65347339,1.67872465,1.53483820,1.55827771,1.57976511,1.59750146
2019,5,9,1.60129000,1.61206000,1.60027000,1.60433000,105443,0.99947669,1.61203132,1.63012993,1.65260811,1.67784616,1.53403501,1.55746225,1.57893841,1.59666547
