Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,1.11768000,1.12064000,1.11675000,1.11763000,62336,1.00000000,1.12297299,1.13552748,1.15111794,1.16862189,1.06886310,1.08511628,1.10001461,1.11231243
2019,6,6,1.11615000,1.11971000,1.11541000,1.11767000,60803,1.00003579,1.12301318,1.13556812,1.15115914,1.16866372,1.06890135,1.08515512,1.10005398,1.11235224
2019,6,5,1.11601000,1.11959000,1.11362000,1.11599000,60079,0.99849687,1.12132515,1.13386122,1.14942880,1.16690707,1.06729466,1.08352399,1.09840045,1.11068024
2019,6,4,1.11550000,1.11904000,1.11524000,1.11599000,62897,1.00000000,1.12132515,1.13386122,1.14942880,1.16690707,1.06729466,1.08352399,1.09840045,1.11068024
2019,6,3,1.11774000,1.12040000,1.11189000,1.11550000,58325,0.99956093,1.12083280,1.13336337,1.14892412,1.16639471,1.06682604,1.08304824,1.09791818,1.11019257
2019,5,31,1.12144000,1.12213000,1.11708000,1.11790000,39544,1.00215150,1.12324428,1.13580181,1.15139603,1.16890421,1.06912132,1.08537842,1.10028035,1.11258115
2019,5,30,1.12215000,1.12479000,1.12081000,1.12145000,49973,1.00317560,1.12681125,1.13940866,1.15505240,1.17261618,1.07251642,1.08882515,1.10377440,1.11611426
2019,5,29,1.12443000,1.12513000,1.12076000,1.12217000,45465,1.00064203,1.12753469,1.14014019,1.15579397,1.17336903,1.07320500,1.08952420,1.10448305,1.11683083
2019,5,28,1.12317000,1.12778000,1.12241000,1.12440000,23580,1.00198722,1.12977535,1.14240590,1.15809079,1.17570077,1.07533770,1.09168933,1.10667790,1.11905022
2019,5,27,1.12167000,1.12632000,1.12167000,1.12322000,42526,0.99895055,1.12858971,1.14120700,1.15687544,1.17446694,1.07420918,1.09054366,1.10551650,1.11787584
2019,5,24,1.12174000,1.12334000,1.11949000,1.12231000,51725,0.99918983,1.12767536,1.14028243,1.15593817,1.17351542,1.07333889,1.08966013,1.10462084,1.11697017
2019,5,23,1.12552000,1.12601000,1.12054000,1.12174000,39284,0.99949212,1.12710263,1.13970330,1.15535109,1.17291941,1.07279376,1.08910671,1.10405983,1.11640288
2019,5,22,1.12823000,1.12911000,1.12450000,1.12560000,42267,1.00344108,1.13098109,1.14362511,1.15932675,1.17695552,1.07648533,1.09285442,1.10785899,1.12024451
2019,5,21,1.12594000,1.12909000,1.12551000,1.12827000,37064,1.00237207,1.13366385,1.14633787,1.16207675,1.17974734,1.07903883,1.09544674,1.11048690,1.12290181
2019,5,20,1.12775000,1.12923000,1.12566000,1.12593000,46940,0.99792603,1.13131267,1.14396040,1.15966664,1.17730058,1.07680094,1.09317482,1.10818379,1.12057294
2019,5,17,1.12844000,1.12984000,1.12690000,1.12803000,41400,1.00186512,1.13342271,1.14609403,1.16182956,1.17949639,1.07880930,1.09521373,1.11025069,1.12266295
2019,5,16,1.12976000,1.13170000,1.12808000,1.12846000,46129,1.00038120,1.13385476,1.14653091,1.16227244,1.17994601,1.07922054,1.09563122,1.11067391,1.12309091
2019,5,15,1.12980000,1.13132000,1.12636000,1.12976000,45548,1.00115201,1.13516098,1.14785173,1.16361140,1.18130532,1.08046382,1.09689340,1.11195342,1.12438472
2019,5,14,1.12915000,1.13290000,1.12880000,1.12980000,51183,1.00003541,1.13520117,1.14789237,1.16365260,1.18134715,1.08050207,1.09693223,1.11199279,1.12442453
2019,5,13,1.13611000,1.13687000,1.12916000,1.12926000,55902,0.99952204,1.13465859,1.14734372,1.16309642,1.18078251,1.07998563,1.09640794,1.11146130,1.12388710
2019,5,10,1.13688000,1.14087000,1.13593000,1.13648000,58861,1.00639357,1.14191310,1.15467934,1.17053275,1.18833192,1.08689059,1.10341790,1.11856750,1.13107275
