Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,0.88758000,0.88920000,0.88490000,0.88829000,67411,1.00000000,0.89251570,0.90244782,0.91478494,0.92863736,0.84969565,0.86256243,0.87435429,0.88408431
2019,6,6,0.88385000,0.88901000,0.88291000,0.88758000,66651,0.99920071,0.89180232,0.90172650,0.91405376,0.92789511,0.84901650,0.86187300,0.87365543,0.88337767
2019,6,5,0.88568000,0.88777000,0.88412000,0.88418000,64580,0.99616936,0.88838614,0.89827231,0.91055235,0.92434067,0.84576422,0.85857147,0.87030877,0.87999377
2019,6,4,0.88748000,0.89016000,0.88516000,0.88568000,60951,1.00169649,0.88989328,0.89979622,0.91209709,0.92590881,0.84719905,0.86002803,0.87178524,0.88148667
2019,6,3,0.88351000,0.88873000,0.88244000,0.88749000,63841,1.00204363,0.89171189,0.90163507,0.91396108,0.92780102,0.84893041,0.86178560,0.87356684,0.88328810
2019,5,31,0.88219000,0.88740000,0.88211000,0.88423000,46195,0.99632672,0.88843638,0.89832311,0.91060384,0.92439294,0.84581205,0.85862002,0.87035799,0.88004353
2019,5,30,0.88147000,0.88404000,0.88076000,0.88219000,53022,0.99769291,0.88638668,0.89625060,0.90850300,0.92226028,0.84386069,0.85663911,0.86834999,0.87801319
2019,5,29,0.88188000,0.88319000,0.87978000,0.88148000,54266,0.99919518,0.88567330,0.89552928,0.90777182,0.92151804,0.84318153,0.85594967,0.86765113,0.87730655
2019,5,28,0.88216000,0.88410000,0.88052000,0.88188000,37918,1.00045378,0.88607520,0.89593566,0.90818375,0.92193620,0.84356415,0.85633809,0.86804485,0.87770466
2019,5,27,0.87952000,0.88346000,0.87897000,0.88228000,53226,1.00045358,0.88647711,0.89634203,0.90859568,0.92235437,0.84394678,0.85672650,0.86843858,0.87810277
2019,5,24,0.88325000,0.88495000,0.88023000,0.88149000,57869,0.99910459,0.88568335,0.89553944,0.90778212,0.92152849,0.84319110,0.85595938,0.86766097,0.87731651
2019,5,23,0.87958000,0.88384000,0.87894000,0.88323000,50407,1.00197393,0.88743163,0.89730717,0.90957402,0.92334752,0.84485550,0.85764899,0.86937367,0.87904827
2019,5,22,0.87827000,0.88391000,0.87716000,0.87997000,54394,0.99630900,0.88415612,0.89399521,0.90621678,0.91993945,0.84173714,0.85448341,0.86616482,0.87580370
2019,5,21,0.87748000,0.87890000,0.87244000,0.87828000,39701,0.99807948,0.88245808,0.89227828,0.90447637,0.91817269,0.84012057,0.85284235,0.86450133,0.87412170
2019,5,20,0.87552000,0.87839000,0.87492000,0.87747000,50890,0.99907774,0.88164422,0.89145537,0.90364221,0.91732590,0.83934576,0.85205581,0.86370404,0.87331554
2019,5,17,0.87320000,0.87779000,0.87277000,0.87733000,45794,0.99984045,0.88150356,0.89131314,0.90349804,0.91717954,0.83921184,0.85191987,0.86356623,0.87317620
2019,5,16,0.87205000,0.87474000,0.87144000,0.87320000,54519,0.99529254,0.87735391,0.88711731,0.89924485,0.91286195,0.83526128,0.84790949,0.85950103,0.86906576
2019,5,15,0.86792000,0.87358000,0.86681000,0.87204000,49645,0.99867155,0.87618839,0.88593882,0.89805025,0.91164926,0.83415168,0.84678308,0.85835922,0.86791125
2019,5,14,0.86579000,0.86912000,0.86537000,0.86793000,53305,0.99528691,0.87205884,0.88176332,0.89381766,0.90735258,0.83022025,0.84279212,0.85431370,0.86382071
