Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,1.81861000,1.82680000,1.81767000,1.82063000,123060,1.00000000,1.82308341,1.82884563,1.83599849,1.84402830,1.79752860,1.80539015,1.81245128,1.81817990
2019,6,6,1.81864000,1.82297000,1.81631000,1.81859000,126061,0.99887951,1.82104066,1.82679643,1.83394127,1.84196208,1.79551448,1.80336723,1.81042044,1.81614264
2019,6,5,1.81447000,1.82316000,1.81352000,1.81937000,130617,1.00042890,1.82182171,1.82757994,1.83472786,1.84275210,1.79628458,1.80414070,1.81119694,1.81692159
2019,6,4,1.81495000,1.81957000,1.81181000,1.81626000,127201,0.99829062,1.81870752,1.82445591,1.83159161,1.83960213,1.79321405,1.80105673,1.80810091,1.81381578
2019,6,3,1.82184000,1.82465000,1.81255000,1.81494000,129652,0.99927323,1.81738574,1.82312995,1.83026046,1.83826517,1.79191080,1.79974778,1.80678684,1.81249755
2019,5,31,1.82372000,1.82700000,1.81698000,1.82106000,103190,1.00337201,1.82351399,1.82927757,1.83643212,1.84446382,1.79795314,1.80581655,1.81287934,1.81860932
2019,5,30,1.82514000,1.82643000,1.81950000,1.82377000,113312,1.00148814,1.82622764,1.83199980,1.83916500,1.84720865,1.80062875,1.80850387,1.81557717,1.82131567
2019,5,29,1.82604000,1.83081000,1.82450000,1.82514000,109449,1.00075119,1.82759948,1.83337598,1.84054656,1.84859626,1.80198137,1.80986240,1.81694102,1.82268383
2019,5,28,1.83152000,1.83350000,1.82676000,1.82701000,81604,1.00102458,1.82947200,1.83525442,1.84243235,1.85049029,1.80382764,1.81171674,1.81880262,1.82455131
2019,5,27,1.83513000,1.83844000,1.82988000,1.83259000,99235,1.00305417,1.83505952,1.84085960,1.84805945,1.85614200,1.80933684,1.81725004,1.82435755,1.83012380
2019,5,24,1.83404000,1.84204000,1.82989000,1.83456000,114612,1.00107498,1.83703218,1.84283849,1.85004608,1.85813732,1.81128184,1.81920355,1.82631870,1.83209115
2019,5,23,1.83886000,1.84249000,1.83390000,1.83404000,105976,0.99971655,1.83651148,1.84231614,1.84952169,1.85761064,1.81076844,1.81868790,1.82580103,1.83157185
2019,5,22,1.84562000,1.84997000,1.83461000,1.83885000,114048,1.00262263,1.84132796,1.84714785,1.85437230,1.86248246,1.81551741,1.82345764,1.83058943,1.83637538
2019,5,21,1.84153000,1.86180000,1.83731000,1.84561000,97154,1.00367621,1.84809707,1.85393835,1.86118936,1.86932933,1.82219163,1.83016105,1.83731906,1.84312628
2019,5,20,1.84109000,1.84711000,1.83690000,1.84151000,107899,0.99777851,1.84399154,1.84981985,1.85705475,1.86517664,1.81814366,1.82609537,1.83323748,1.83903180
2019,5,17,1.85606000,1.85905000,1.85049000,1.85152000,105102,1.00543576,1.85401503,1.85987502,1.86714925,1.87531529,1.82802664,1.83602158,1.84320251,1.84902833
2019,5,16,1.85348000,1.86315000,1.85044000,1.85609000,114517,1.00246824,1.85859119,1.86446564,1.87175782,1.87994402,1.83253866,1.84055333,1.84775198,1.85359217
2019,5,15,1.85816000,1.86722000,1.85100000,1.85348000,110089,0.99859382,1.85597767,1.86184387,1.86912579,1.87730048,1.82996177,1.83796517,1.84515371,1.85098569
2019,5,14,1.86561000,1.86738000,1.85756000,1.85816000,115607,1.00252498,1.86066398,1.86654499,1.87384530,1.88204062,1.83458239,1.84260600,1.84981268,1.85565939
2019,5,13,1.85697000,1.87160000,1.85585000,1.86562000,135715,1.00401472,1.86813403,1.87403865,1.88136827,1.88959650,1.84194773,1.85000355,1.85723917,1.86310935
2019,5,10,1.86073000,1.86460000,1.85428000,1.85752000,123406,0.99565828,1.86002312,1.86590210,1.87319989,1.88139240,1.83395051,1.84197136,1.84917556,1.85502025
2019,5,9,1.86072000,1.86761000,1.85690000,1.86073000,122784,1.00172811,1.86323744,1.86912658,1.87643699,1.88464365,1.83711978,1.84515449,1.85237114,1.85822593
