Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,1.69409000,1.70059000,1.69205000,1.69297000,110450,1.00000000,1.69507169,1.70000770,1.70613481,1.71301304,1.67316147,1.67990677,1.68596143,1.69087092
2019,6,6,1.70097000,1.70674000,1.69520000,1.69525000,108348,1.00134675,1.69735452,1.70229718,1.70843254,1.71532003,1.67541479,1.68216918,1.68823199,1.69314809
2019,6,5,1.70047000,1.70639000,1.69765000,1.70097000,111960,1.00337413,1.70308162,1.70804096,1.71419702,1.72110775,1.68106787,1.68784504,1.69392831,1.69886100
2019,6,4,1.70162000,1.70521000,1.69814000,1.70071000,110133,0.99984715,1.70282130,1.70777988,1.71393500,1.72084468,1.68081091,1.68758705,1.69366939,1.69860132
2019,6,3,1.70683000,1.71131000,1.69933000,1.70162000,112747,1.00053507,1.70373243,1.70869366,1.71485207,1.72176545,1.68171026,1.68849003,1.69457562,1.69951019
2019,5,31,1.70160000,1.70958000,1.70106000,1.70742000,90860,1.00340852,1.70953963,1.71451777,1.72069717,1.72763411,1.68744240,1.69424528,1.70035161,1.70530300
2019,5,30,1.70668000,1.70729000,1.69817000,1.70162000,105181,0.99660306,1.70373243,1.70869366,1.71485207,1.72176545,1.68171026,1.68849003,1.69457562,1.69951019
2019,5,29,1.70709000,1.71343000,1.70485000,1.70666000,96925,1.00296188,1.70877868,1.71375461,1.71993126,1.72686512,1.68669129,1.69349114,1.69959476,1.70454394
2019,5,28,1.70375000,1.70872000,1.70122000,1.70703000,70911,1.00021680,1.70914914,1.71412615,1.72030414,1.72723950,1.68705696,1.69385828,1.69996323,1.70491349
2019,5,27,1.70990000,1.71247000,1.70256000,1.70433000,98552,0.99841831,1.70644579,1.71141493,1.71758315,1.72450753,1.68438855,1.69117912,1.69727440,1.70221683
2019,5,24,1.70504000,1.71098000,1.70147000,1.70815000,103076,1.00224135,1.71027053,1.71525081,1.72143285,1.72837276,1.68816386,1.69496964,1.70107859,1.70603210
2019,5,23,1.70034000,1.70847000,1.69614000,1.70505000,95293,0.99818517,1.70716668,1.71213792,1.71830874,1.72523606,1.68510013,1.69189356,1.69799142,1.70293594
2019,5,22,1.70307000,1.70499000,1.69025000,1.70044000,97464,0.99729627,1.70255096,1.70750876,1.71366290,1.72057148,1.68054407,1.68731913,1.69340051,1.69833166
2019,5,21,1.70808000,1.71810000,1.70163000,1.70306000,83764,1.00154078,1.70517421,1.71013965,1.71630327,1.72322250,1.68313341,1.68991892,1.69600966,1.70094841
2019,5,20,1.71103000,1.71400000,1.70794000,1.70808000,100364,1.00294764,1.71020045,1.71518051,1.72136231,1.72830193,1.68809468,1.69490018,1.70100888,1.70596218
2019,5,17,1.72203000,1.72443000,1.70997000,1.71219000,87822,1.00240621,1.71431555,1.71930760,1.72550427,1.73246059,1.69215659,1.69897847,1.70510187,1.71006709
2019,5,16,1.72551000,1.72742000,1.71639000,1.72201000,99367,1.00573534,1.72414774,1.72916842,1.73540063,1.74239685,1.70186169,1.70872270,1.71488121,1.71987491
2019,5,15,1.73702000,1.74150000,1.72462000,1.72549000,90779,1.00202089,1.72763206,1.73266289,1.73890769,1.74591805,1.70530097,1.71217584,1.71834681,1.72335060
2019,5,14,1.74570000,1.74738000,1.73698000,1.73702000,95492,1.00668216,1.73917637,1.74424082,1.75052735,1.75758455,1.71669607,1.72361688,1.72982907,1.73486630
2019,5,13,1.74346000,1.75187000,1.74338000,1.74573000,108376,1.00501433,1.74789719,1.75298703,1.75930508,1.76639767,1.72530416,1.73225967,1.73850302,1.74356550
2019,5,10,1.75228000,1.75479000,1.74267000,1.74471000,103273,0.99941572,1.74687592,1.75196279,1.75827715,1.76536559,1.72429609,1.73124754,1.73748724,1.74254677
2019,5,9,1.75229000,1.75715000,1.74887000,1.75228000,99886,1.00433883,1.75445532,1.75956425,1.76590601,1.77302521,1.73177752,1.73875913,1.74502590,1.75010738
2019,5,8,1.76120000,1.76126000,1.74839000,1.75235000,98012,1.00003995,1.75452540,1.75963455,1.76597656,1.77309604,1.73184670,1.73882859,1.74509561,1.75017729
2019,5,7,1.76009000,1.76295000,1.75649000,1.76119000,97610,1.00504465,1.76337638,1.76851129,1.77488530,1.78204070,1.74058327,1.74760038,1.75389902,1.75900633
2019,5,6,1.76929000,1.77277000,1.75925000,1.76089000,95100,0.99982966,1.76307601,1.76821005,1.77458297,1.78173715,1.74028678,1.74730269,1.75360026,1.75870671
2019,5,3,1.75549000,1.76887000,1.74960000,1.76858000,96018,1.00436711,1.77077555,1.77593201,1.78233276,1.78951819,1.74788680,1.75493335,1.76125842,1.76638717
2019,5,2,1.75430000,1.75808000,1.75070000,1.75547000,85932,0.99258727,1.75764928,1.76276752,1.76912082,1.77625298,1.73493019,1.74192451,1.74820269,1.75329343
2019,5,1,1.74462000,1.75702000,1.74361000,1.75429000,92074,0.99932782,1.75646781,1.76158261,1.76793164,1.77505901,1.73376400,1.74075362,1.74702758,1.75211489
2019,4,30,1.73981000,1.75584000,1.73815000,1.74461000,75424,0.99448210,1.74677579,1.75186237,1.75817637,1.76526441,1.72419726,1.73114831,1.73738765,1.74244689
2019,4,29,1.73826000,1.74366000,1.73701000,1.73981000,88819,0.99724867,1.74196984,1.74704242,1.75333904,1.76040758,1.71945342,1.72638535,1.73260752,1.73765284
2019,4,26,1.73848000,1.74251000,1.73629000,1.73844000,84527,0.99921256,1.74059814,1.74566672,1.75195839,1.75902136,1.71809945,1.72502592,1.73124320,1.73628454
2019,4,25,1.73948000,1.74264000,1.73734000,1.73899000,100266,1.00031638,1.74114882,1.74621901,1.75251267,1.75957787,1.71864302,1.72557168,1.73179092,1.73683386
2019,4,24,1.73610000,1.75069000,1.73540000,1.74032000,90526,1.00076481,1.74248047,1.74755454,1.75385301,1.76092362,1.71995745,1.72689141,1.73311541,1.73816221
2019,4,23,1.73218000,1.74423000,1.73189000,1.73634000,50648,0.99771306,1.73849553,1.74355799,1.74984206,1.75689650,1.71602402,1.72294212,1.72915189,1.73418714
2019,4,22,1.73921000,1.74057000,1.73162000,1.73202000,74115,0.99751201,1.73417017,1.73922003,1.74548847,1.75252535,1.71175457,1.71865546,1.72484977,1.72987250
2019,4,19,1.73737000,1.74107000,1.73586000,1.73838000,104063,1.00367201,1.74053806,1.74560647,1.75189792,1.75896065,1.71804015,1.72496638,1.73118344,1.73622461
2019,4,18,1.73918000,1.74289000,1.73592000,1.73592000,97765,0.99858489,1.73807501,1.74313625,1.74941879,1.75647153,1.71560894,1.72252536,1.72873363,1.73376767
2019,4,17,1.74166000,1.74411000,1.73139000,1.73892000,94949,1.00172819,1.74107873,1.74614872,1.75244212,1.75950704,1.71857384,1.72550222,1.73172121,1.73676395
2019,4,16,1.75005000,1.75383000,1.74151000,1.74163000,85844,1.00155844,1.74379210,1.74886998,1.75517320,1.76224913,1.72125213,1.72819131,1.73441999,1.73947059
2019,4,15,1.74388000,1.75489000,1.74163000,1.75079000,92580,1.00525944,1.75296347,1.75806806,1.76440443,1.77151757,1.73030495,1.73728063,1.74354207,1.74861923
2019,4,12,1.74605000,1.74926000,1.74145000,1.74197000,89947,0.99496227,1.74413252,1.74921140,1.75551584,1.76259315,1.72158815,1.72852868,1.73475858,1.73981016
2019,4,11,1.74162000,1.75191000,1.74141000,1.74658000,96536,1.00264643,1.74874824,1.75384056,1.76016169,1.76725773,1.72614421,1.73310311,1.73934950,1.74441445
2019,4,10,1.73897000,1.74669000,1.73833000,1.74258000,94293,0.99770981,1.74474327,1.74982393,1.75613058,1.76321037,1.72219101,1.72913397,1.73536606,1.74041941
2019,4,9,1.73853000,1.74466000,1.73372000,1.73894000,93119,0.99791114,1.74109876,1.74616880,1.75246228,1.75952728,1.71859360,1.72552206,1.73174113,1.73678392
2019,4,8,1.74368000,1.74862000,1.73600000,1.73868000,97671,0.99985048,1.74083843,1.74590772,1.75220026,1.75926420,1.71833664,1.72526407,1.73148220,1.73652424
2019,4,5,1.74645000,1.75268000,1.73870000,1.74458000,106163,1.00339338,1.74674576,1.75183225,1.75814614,1.76523405,1.72416761,1.73111854,1.73735778,1.74241693
2019,4,4,1.75577000,1.76143000,1.74372000,1.74605000,107117,1.00084261,1.74821758,1.75330836,1.75962757,1.76672145,1.72562041,1.73257720,1.73882169,1.74388511
2019,4,3,1.75051000,1.75654000,1.74845000,1.75577000,112487,1.00556685,1.75794965,1.76306876,1.76942315,1.77655653,1.73522668,1.74222220,1.74850145,1.75359305
2019,4,2,1.74303000,1.75361000,1.73271000,1.75108000,79019,0.99732881,1.75325383,1.75835927,1.76469668,1.77181100,1.73059156,1.73756839,1.74383087,1.74890887
2019,4,1,1.73907000,1.75483000,1.73588000,1.74352000,85422,0.99568266,1.74568444,1.75076784,1.75707789,1.76416150,1.72312001,1.73006672,1.73630217,1.74135824
2019,3,29,1.75073000,1.76336000,1.73425000,1.73955000,93098,0.99772300,1.74170951,1.74678134,1.75307702,1.76014450,1.71919646,1.72612735,1.73234860,1.73739316
2019,3,28,1.76776000,1.77051000,1.75154000,1.75156000,95707,1.00690408,1.75373442,1.75884126,1.76518041,1.77229669,1.73106594,1.73804468,1.74430888,1.74938827
2019,3,27,1.76635000,1.77888000,1.76441000,1.76779000,88295,1.00926603,1.76998457,1.77513873,1.78153662,1.78871883,1.74710604,1.75414945,1.76047169,1.76559815
2019,3,26,1.76843000,1.77735000,1.76225000,1.76635000,87304,0.99918542,1.76854278,1.77369274,1.78008542,1.78726179,1.74568289,1.75272056,1.75903765,1.76415994
2019,3,25,1.77311000,1.77934000,1.76470000,1.76842000,93499,1.00117191,1.77061535,1.77577135,1.78217152,1.78935629,1.74772867,1.75477459,1.76109908,1.76622737
2019,3,22,1.75000000,1.77384000,1.74954000,1.77373000,86377,1.00300268,1.77593194,1.78110342,1.78752281,1.79472916,1.75297654,1.76004362,1.76638710,1.77153079
2019,3,21,1.75484000,1.75867000,1.74194000,1.75018000,77352,0.98672289,1.75235271,1.75745552,1.76378968,1.77090035,1.72970209,1.73667533,1.74293459,1.74800998
2019,3,20,1.76657000,1.76865000,1.75218000,1.75491000,71150,1.00270258,1.75708858,1.76220519,1.76855646,1.77568635,1.73437674,1.74136883,1.74764501,1.75273412
2019,3,19,1.76706000,1.77153000,1.75595000,1.76648000,65452,1.00659293,1.76867294,1.77382328,1.78021643,1.78739333,1.74581137,1.75284956,1.75916712,1.76428977
2019,3,18,1.77245000,1.77459000,1.76078000,1.76705000,70374,1.00032268,1.76924365,1.77439565,1.78079087,1.78797007,1.74637470,1.75341516,1.75973476,1.76485907
2019,3,15,1.76538000,1.77507000,1.75560000,1.77300000,78887,1.00336719,1.77520104,1.78037039,1.78678713,1.79399052,1.75225508,1.75931925,1.76566012,1.77080169
2019,3,14,1.77366000,1.77442000,1.76013000,1.76538000,75400,0.99570220,1.76757158,1.77271871,1.77910788,1.78628030,1.74472424,1.75175805,1.75807167,1.76319114
2019,3,13,1.74570000,1.77914000,1.74385000,1.77366000,88082,1.00469021,1.77586186,1.78103313,1.78745227,1.79465833,1.75290736,1.75997416,1.76631739,1.77146087
2019,3,12,1.76105000,1.77936000,1.74335000,1.74535000,74394,0.98403865,1.74751671,1.75260545,1.75892212,1.76601317,1.72492860,1.73188260,1.73812459,1.74318597
2019,3,11,1.73884000,1.76671000,1.73860000,1.76106000,76591,1.00900106,1.76324622,1.76838075,1.77475429,1.78190916,1.74045479,1.74747138,1.75376955,1.75887649
2019,3,8,1.75977000,1.76357000,1.74219000,1.74663000,76092,0.99180607,1.74879830,1.75389077,1.76021208,1.76730832,1.72619362,1.73315272,1.73939929,1.74446439
2019,3,7,1.76995000,1.77222000,1.75705000,1.75977000,73324,1.00752306,1.76195461,1.76708539,1.77345426,1.78060389,1.73917988,1.74619133,1.75248489,1.75758809
2019,3,6,1.75892000,1.77156000,1.75416000,1.76993000,74794,1.00577348,1.77212723,1.77728763,1.78369326,1.79088417,1.74922100,1.75627294,1.76260283,1.76773550
2019,3,5,1.75228000,1.76026000,1.74841000,1.75889000,73684,0.99376247,1.76107352,1.76620173,1.77256741,1.77971347,1.73831018,1.74531812,1.75160854,1.75670919
2019,3,4,1.75842000,1.76293000,1.75228000,1.75228000,69949,0.99624195,1.75445532,1.75956425,1.76590601,1.77302521,1.73177752,1.73875913,1.74502590,1.75010738
2019,3,1,1.74647000,1.75811000,1.73561000,1.75760000,69363,1.00303604,1.75978192,1.76490637,1.77126738,1.77840819,1.73703527,1.74403808,1.75032388,1.75542078
2019,2,28,1.75035000,1.75505000,1.74317000,1.74647000,93382,0.99366750,1.74863810,1.75373010,1.76005083,1.76714643,1.72603550,1.73299396,1.73923995,1.74430458
2019,2,27,1.74409000,1.75400000,1.74191000,1.75048000,76175,1.00229606,1.75265308,1.75775677,1.76409202,1.77120390,1.72999858,1.73697302,1.74323335,1.74830961
2019,2,26,1.72677000,1.75181000,1.72639000,1.74409000,59581,0.99634957,1.74625515,1.75134021,1.75765233,1.76473825,1.72368334,1.73063232,1.73686981,1.74192754
2019,2,25,1.71659000,1.72978000,1.71333000,1.72686000,63983,0.99012092,1.72900376,1.73403858,1.74028834,1.74730426,1.70665494,1.71353527,1.71971113,1.72471890
2019,2,22,1.72455000,1.72602000,1.71354000,1.71545000,74118,0.99339263,1.71757959,1.72258115,1.72878962,1.73575918,1.69537844,1.70221331,1.70834837,1.71332305
2019,2,21,1.71916000,1.72593000,1.71563000,1.72476000,67684,1.00542715,1.72690115,1.73192985,1.73817201,1.74517940,1.70457951,1.71145148,1.71761983,1.72262150
2019,2,20,1.72510000,1.72610000,1.71546000,1.71924000,65328,0.99679955,1.72137430,1.72638691,1.73260909,1.73959405,1.69912410,1.70597407,1.71212268,1.71710835
2019,2,19,1.71018000,1.72952000,1.70897000,1.72520000,54833,1.00346665,1.72734170,1.73237168,1.73861543,1.74562461,1.70501437,1.71188808,1.71805801,1.72306096
2019,2,18,1.70939000,1.71289000,1.70562000,1.71018000,66163,0.99129376,1.71230305,1.71728924,1.72347864,1.73042679,1.69017011,1.69698398,1.70310019,1.70805958
2019,2,15,1.70128000,1.70853000,1.69824000,1.70725000,69993,0.99828673,1.70936942,1.71434706,1.72052585,1.72746210,1.68727439,1.69407659,1.70018232,1.70513321
2019,2,14,1.70188000,1.70774000,1.69722000,1.70112000,71844,0.99640943,1.70323181,1.70819158,1.71434818,1.72125953,1.68121611,1.68799389,1.69407769,1.69901081
2019,2,13,1.70622000,1.71409000,1.70064000,1.70210000,67390,1.00057609,1.70421302,1.70917566,1.71533580,1.72225113,1.68218465,1.68896633,1.69505364,1.69998960
2019,2,12,1.71029000,1.71278000,1.70351000,1.70610000,69071,1.00235004,1.70821799,1.71319228,1.71936691,1.72629849,1.68613784,1.69293546,1.69903708,1.70398464
2019,2,11,1.71568000,1.71928000,1.70775000,1.71025000,66835,1.00243245,1.71237314,1.71735954,1.72354918,1.73049762,1.69023929,1.69705344,1.70316990,1.70812949
2019,2,8,1.72262000,1.72721000,1.71487000,1.71691000,74151,1.00389417,1.71904141,1.72404722,1.73026097,1.73723647,1.69682136,1.70366205,1.70980233,1.71478124
2019,2,7,1.70833000,1.72736000,1.70378000,1.72286000,71897,1.00346553,1.72499879,1.73002196,1.73625724,1.74325691,1.70270174,1.70956614,1.71572769,1.72072386
2019,2,6,1.69971000,1.71112000,1.69855000,1.70808000,65956,0.99142124,1.71020045,1.71518051,1.72136231,1.72830193,1.68809468,1.69490018,1.70100888,1.70596218
2019,2,5,1.70891000,1.71149000,1.69838000,1.69970000,68628,0.99509391,1.70181004,1.70676568,1.71291714,1.71982272,1.67981273,1.68658484,1.69266357,1.69759257
2019,2,4,1.70950000,1.72172000,1.70721000,1.70891000,78857,1.00541860,1.71103148,1.71601396,1.72219876,1.72914175,1.68891497,1.69572378,1.70183544,1.70679115
2019,2,1,1.71954000,1.72476000,1.70847000,1.71270000,83583,1.00221779,1.71482618,1.71981972,1.72601823,1.73297662,1.69266062,1.69948453,1.70560975,1.71057646
2019,1,31,1.72417000,1.72897000,1.71954000,1.71954000,85376,1.00399369,1.72167467,1.72668815,1.73291142,1.73989760,1.69942059,1.70627176,1.71242144,1.71740797
2019,1,30,1.73337000,1.73789000,1.72159000,1.72434000,89771,1.00279144,1.72648063,1.73150811,1.73774875,1.74475443,1.70416443,1.71103472,1.71720157,1.72220202
2019,1,29,1.74394000,1.74960000,1.73360000,1.73369000,76647,1.00542236,1.73584224,1.74089698,1.74717145,1.75421512,1.71340503,1.72031257,1.72651286,1.73154043
2019,1,28,1.74326000,1.74960000,1.73914000,1.74433000,85085,1.00613720,1.74649545,1.75158121,1.75789419,1.76498109,1.72392054,1.73087047,1.73710881,1.74216724
2019,1,25,1.74355000,1.75269000,1.73750000,1.74500000,83278,1.00038410,1.74716628,1.75225399,1.75856940,1.76565902,1.72458270,1.73153530,1.73777604,1.74283641
2019,1,24,1.74329000,1.74562000,1.73740000,1.74351000,83097,0.99914613,1.74567443,1.75075780,1.75706782,1.76415138,1.72311013,1.73005680,1.73629221,1.74134825
2019,1,23,1.73004000,1.74814000,1.72495000,1.74329000,83065,0.99987382,1.74545416,1.75053688,1.75684610,1.76392878,1.72289270,1.72983850,1.73607312,1.74112853
2019,1,22,1.71332000,1.73175000,1.71320000,1.73009000,67012,0.99242811,1.73223777,1.73728201,1.74354346,1.75057250,1.70984715,1.71674035,1.72292776,1.72794489
2019,1,21,1.70718000,1.71561000,1.70470000,1.71332000,76080,0.99030686,1.71544695,1.72044230,1.72664305,1.73360396,1.69327337,1.70009975,1.70622719,1.71119569
2019,1,18,1.72366000,1.72523000,1.70687000,1.70756000,80589,0.99663811,1.70967980,1.71465835,1.72083826,1.72777577,1.68758076,1.69438419,1.70049103,1.70544283
2019,1,17,1.70664000,1.72733000,1.70594000,1.72367000,80352,1.00943451,1.72580980,1.73083532,1.73707354,1.74407650,1.70350227,1.71036989,1.71653434,1.72153285
2019,1,16,1.70530000,1.71029000,1.70106000,1.70676000,83063,0.99018954,1.70887881,1.71385503,1.72003204,1.72696630,1.68679012,1.69359037,1.69969434,1.70464382
2019,1,15,1.70739000,1.71290000,1.68375000,1.70528000,65535,0.99913286,1.70739697,1.71236888,1.71854053,1.72546878,1.68532744,1.69212179,1.69822047,1.70316566
2019,1,14,1.70356000,1.71365000,1.70081000,1.70781000,72597,1.00148363,1.70993011,1.71490939,1.72109021,1.72802873,1.68782784,1.69463227,1.70074000,1.70569252
2019,1,11,1.68579000,1.70594000,1.67566000,1.70313000,71838,0.99725965,1.70524430,1.71020994,1.71637381,1.72329333,1.68320259,1.68998838,1.69607937,1.70101832
2019,1,10,1.68887000,1.69275000,1.68174000,1.68744000,73351,0.99078755,1.68953482,1.69445471,1.70056181,1.70741757,1.66769617,1.67441944,1.68045433,1.68534777
2019,1,9,1.68738000,1.69212000,1.68299000,1.68898000,68231,1.00091263,1.69107673,1.69600112,1.70211378,1.70897580,1.66921816,1.67594756,1.68198795,1.68688587
2019,1,8,1.69881000,1.70007000,1.68707000,1.68731000,67299,0.99901124,1.68940466,1.69432417,1.70043080,1.70728603,1.66756770,1.67429045,1.68032486,1.68521794
2019,1,7,1.70054000,1.70660000,1.69538000,1.69833000,78024,1.00653111,1.70043834,1.70538998,1.71153649,1.71843650,1.67845876,1.68522541,1.69129924,1.69622427
