Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,1.25765000,1.26559000,1.25634000,1.25798000,90406,1.00000000,1.26410392,1.27849798,1.29637782,1.31645385,1.20210342,1.22071950,1.23779130,1.25188575
2019,6,6,1.26132000,1.26546000,1.25620000,1.25764000,96002,0.99972973,1.26376227,1.27815244,1.29602744,1.31609805,1.20177852,1.22038957,1.23745676,1.25154739
2019,6,5,1.25833000,1.26295000,1.25554000,1.26158000,99884,1.00313285,1.26772145,1.28215670,1.30008770,1.32022119,1.20554352,1.22421287,1.24133353,1.25546831
2019,6,4,1.25647000,1.26252000,1.25553000,1.25945000,96214,0.99831164,1.26558108,1.27999196,1.29789269,1.31799218,1.20350813,1.22214596,1.23923771,1.25334862
2019,6,3,1.26327000,1.26577000,1.25580000,1.25660000,91431,0.99773711,1.26271720,1.27709547,1.29495570,1.31500971,1.20078472,1.21938037,1.23643345,1.25051243
2019,5,31,1.27018000,1.27102000,1.26250000,1.26410000,69676,1.00596849,1.27025371,1.28471780,1.30268462,1.32285833,1.20795158,1.22665823,1.24381308,1.25797610
2019,5,30,1.27270000,1.27559000,1.26855000,1.27024000,77822,1.00485721,1.27642360,1.29095795,1.30901204,1.32928373,1.21381886,1.23261636,1.24985455,1.26408635
2019,5,29,1.27447000,1.27638000,1.26936000,1.27272000,76667,1.00195239,1.27891568,1.29347840,1.31156773,1.33187900,1.21618870,1.23502291,1.25229475,1.26655434
2019,5,28,1.27191000,1.27921000,1.27035000,1.27460000,62499,1.00147715,1.28080483,1.29538906,1.31350512,1.33384639,1.21798520,1.23684722,1.25414457,1.26842523
2019,5,27,1.27371000,1.27951000,1.27206000,1.27216000,75820,0.99808567,1.27835295,1.29290926,1.31099064,1.33129297,1.21565358,1.23447950,1.25174373,1.26599705
2019,5,24,1.26945000,1.27507000,1.26781000,1.27314000,87511,1.00077034,1.27933772,1.29390525,1.31200055,1.33231853,1.21659005,1.23543047,1.25270801,1.26697230
2019,5,23,1.27723000,1.27827000,1.26858000,1.26957000,75201,0.99719591,1.27575034,1.29027702,1.30832159,1.32858258,1.21317862,1.23196621,1.24919530,1.26341960
2019,5,22,1.28437000,1.28635000,1.27318000,1.27750000,80185,1.00624621,1.28371895,1.29833636,1.31649364,1.33688119,1.22075639,1.23966133,1.25699803,1.27131118
2019,5,21,1.28270000,1.29335000,1.28111000,1.28436000,61096,1.00536986,1.29061234,1.30530825,1.32356303,1.34406006,1.22731168,1.24631814,1.26374794,1.27813795
2019,5,20,1.28636000,1.28881000,1.28187000,1.28272000,78359,0.99872310,1.28896436,1.30364150,1.32187297,1.34234383,1.22574453,1.24472672,1.26213426,1.27650589
2019,5,17,1.29157000,1.29254000,1.28527000,1.28558000,70906,1.00222964,1.29183828,1.30654815,1.32482027,1.34533677,1.22847749,1.24750200,1.26494836,1.27935204
2019,5,16,1.29533000,1.29605000,1.29113000,1.29193000,78309,1.00493940,1.29821919,1.31300172,1.33136409,1.35198193,1.23454544,1.25366392,1.27119645,1.28567128
2019,5,15,1.30125000,1.30261000,1.29317000,1.29534000,75068,1.00263946,1.30164579,1.31646733,1.33487817,1.35555043,1.23780397,1.25697292,1.27455173,1.28906476
2019,5,14,1.30353000,1.30654000,1.30085000,1.30136000,79323,1.00464743,1.30769510,1.32258552,1.34108192,1.36185026,1.24355658,1.26281461,1.28047512,1.29505559
2019,5,13,1.31353000,1.31584000,1.30145000,1.30385000,88789,1.00191338,1.31019722,1.32511613,1.34364793,1.36445600,1.24593598,1.26523086,1.28292516,1.29753353
2019,5,10,1.32028000,1.32200000,1.31439000,1.31502000,88864,1.00856694,1.32142160,1.33646832,1.35515887,1.37614521,1.25660983,1.27607001,1.29391589,1.30864942
2019,5,9,1.32616000,1.32892000,1.31693000,1.32032000,90129,1.00403036,1.32674740,1.34185476,1.36062065,1.38169156,1.26167442,1.28121303,1.29913084,1.31392374
2019,5,8,1.33241000,1.33303000,1.32244000,1.32657000,86908,1.00473370,1.33302782,1.34820670,1.36706142,1.38823208,1.26764681,1.28727791,1.30528053,1.32014346
2019,5,7,1.33270000,1.33528000,1.33079000,1.33242000,81289,1.00440987,1.33890630,1.35415212,1.37308998,1.39435400,1.27323697,1.29295464,1.31103665,1.32596512
2019,5,6,1.33452000,1.33831000,1.33131000,1.33267000,87832,1.00018763,1.33915752,1.35440620,1.37334761,1.39461562,1.27347586,1.29319723,1.31128264,1.32621391
2019,5,3,1.32554000,1.33989000,1.32542000,1.33869000,85403,1.00451725,1.34520682,1.36052438,1.37955136,1.40091544,1.27922847,1.29903892,1.31720603,1.33220475
2019,5,2,1.32759000,1.33252000,1.32386000,1.32759000,75427,0.99170831,1.33405279,1.34924334,1.36811255,1.38929949,1.26862150,1.28826770,1.30628416,1.32115852
2019,5,1,1.32799000,1.33030000,1.32571000,1.32770000,77283,1.00008286,1.33416332,1.34935513,1.36822591,1.38941460,1.26872662,1.28837444,1.30639240,1.32126799
2019,4,30,1.31841000,1.33043000,1.31710000,1.32802000,61241,1.00024102,1.33448488,1.34968035,1.36855568,1.38974948,1.26903240,1.28868496,1.30670726,1.32158644
2019,4,29,1.31581000,1.32017000,1.31554000,1.31841000,77715,0.99276366,1.32482810,1.33991361,1.35865235,1.37969278,1.25984926,1.27935960,1.29725149,1.31202299
2019,4,26,1.31493000,1.31921000,1.31454000,1.31707000,78195,0.99898362,1.32348157,1.33855176,1.35727145,1.37829050,1.25856878,1.27805929,1.29593299,1.31068949
2019,4,25,1.31628000,1.31822000,1.31338000,1.31571000,87290,0.99896740,1.32211495,1.33716957,1.35586994,1.37686728,1.25726919,1.27673957,1.29459482,1.30933607
2019,4,24,1.31937000,1.32070000,1.31562000,1.31603000,77152,1.00024321,1.32243651,1.33749479,1.35619970,1.37720215,1.25757497,1.27705010,1.29490968,1.30965452
2019,4,23,1.31806000,1.32731000,1.31752000,1.31921000,37676,1.00241636,1.32563199,1.34072666,1.35947677,1.38052997,1.26061372,1.28013591,1.29803865,1.31281912
2019,4,22,1.31733000,1.31902000,1.31657000,1.31741000,72454,0.99863555,1.32382323,1.33889730,1.35762183,1.37864630,1.25889368,1.27838922,1.29626754,1.31102784
2019,4,19,1.31767000,1.31948000,1.31643000,1.31701000,86992,0.99969637,1.32342128,1.33849078,1.35720962,1.37822771,1.25851144,1.27800107,1.29587396,1.31062978
2019,4,18,1.31703000,1.32036000,1.31436000,1.31813000,78891,1.00085041,1.32454674,1.33962904,1.35836380,1.37939977,1.25958170,1.27908790,1.29697598,1.31174435
2019,4,17,1.31483000,1.31823000,1.31268000,1.31714000,80453,0.99924894,1.32355192,1.33862290,1.35734358,1.37836375,1.25863567,1.27812722,1.29600187,1.31075915
2019,4,16,1.31422000,1.31722000,1.31227000,1.31462000,67151,0.99808676,1.32101965,1.33606180,1.35474666,1.37572661,1.25622760,1.27568186,1.29352231,1.30825135
2019,4,15,1.31021000,1.31614000,1.30943000,1.31498000,74703,1.00027384,1.32138140,1.33642767,1.35511765,1.37610335,1.25657161,1.27603120,1.29387654,1.30860961
2019,4,12,1.30896000,1.31296000,1.30779000,1.31070000,74835,0.99674520,1.31708057,1.33207786,1.35070701,1.37162440,1.25248172,1.27187797,1.28966522,1.30435035
2019,4,11,1.31193000,1.31392000,1.30751000,1.30932000,86366,0.99894713,1.31569385,1.33067535,1.34928489,1.37018026,1.25116302,1.27053884,1.28830737,1.30297703
2019,4,10,1.30490000,1.31474000,1.30364000,1.31186000,81805,1.00193994,1.31824621,1.33325678,1.35190242,1.37283832,1.25359019,1.27300361,1.29080661,1.30550473
2019,4,9,1.30437000,1.30992000,1.30252000,1.30422000,73410,0.99417621,1.31056902,1.32549217,1.34402922,1.36484320,1.24628955,1.26558990,1.28328922,1.29790174
2019,4,8,1.30291000,1.30634000,1.30067000,1.30410000,81057,0.99990799,1.31044844,1.32537021,1.34390556,1.36471762,1.24617488,1.26547345,1.28317114,1.29778232
2019,4,5,1.30654000,1.31190000,1.29900000,1.30361000,90205,0.99962426,1.30995605,1.32487222,1.34340060,1.36420484,1.24570664,1.26499797,1.28268901,1.29729469
2019,4,4,1.31311000,1.31665000,1.30561000,1.30648000,94209,1.00220158,1.31284002,1.32778903,1.34635820,1.36720825,1.24844916,1.26778296,1.28551295,1.30015079
2019,4,3,1.30945000,1.31733000,1.30751000,1.31270000,100880,1.00476088,1.31909030,1.33411048,1.35276806,1.37371737,1.25439288,1.27381873,1.29163313,1.30634066
2019,4,2,1.30725000,1.31243000,1.30038000,1.31004000,63277,0.99797364,1.31641735,1.33140709,1.35002687,1.37093372,1.25185103,1.27123752,1.28901582,1.30369354
