Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,137.55400000,138.16100000,137.42000000,137.62200000,116782,1.00000000,138.29434606,139.87458902,141.83742617,144.04132948,131.48875362,133.53185683,135.40568746,136.95292269
2019,6,6,137.54100000,137.80500000,136.98400000,137.55300000,116732,0.99949863,138.22500896,139.80445963,141.76631267,143.96911100,131.42282867,133.46490752,135.33779866,136.88425815
2019,6,5,137.29500000,137.77800000,137.18400000,137.56300000,120720,1.00007270,138.23505782,139.81462331,141.77661897,143.97957745,131.43238301,133.47461032,135.34763762,136.89420953
2019,6,4,136.82400000,137.46700000,136.55400000,137.31500000,122998,0.99819719,137.98584622,139.56256406,141.52102261,143.72000958,131.19543535,133.23398091,135.10363150,136.64741523
2019,6,3,136.72800000,137.11500000,136.61000000,136.84300000,133535,0.99656265,137.51154029,139.08283839,141.03456503,143.22599330,130.74447045,132.77600881,134.63923275,136.17770996
2019,5,31,138.17500000,138.21800000,136.62400000,136.78000000,100732,0.99953962,137.44823251,139.01880721,140.96963531,143.16005469,130.68427810,132.71488118,134.57724732,136.11501624
2019,5,30,138.36000000,138.73100000,138.05200000,138.17500000,114129,1.01019886,138.85004771,140.43664049,142.40736482,144.62012397,132.01710869,134.06842160,135.94978176,137.50323417
2019,5,29,138.36500000,138.57700000,137.86600000,138.35900000,110691,1.00133164,139.03494664,140.62365219,142.59700082,144.81270659,132.19290857,134.24695310,136.13081856,137.68633961
2019,5,28,138.77200000,139.00800000,138.28500000,138.36600000,81838,1.00005059,139.04198084,140.63076677,142.60421524,144.82003310,132.19959661,134.25374506,136.13770583,137.69330558
2019,5,27,139.04900000,139.63700000,138.67400000,138.83600000,100141,1.00339679,139.51427700,141.10845970,143.08861155,145.31195608,132.64865064,134.70977660,136.60013678,138.16102058
2019,5,24,138.71300000,139.48300000,138.50400000,138.91300000,113632,1.00055461,139.59165318,141.18672003,143.16797010,145.39254772,132.72221907,134.78448815,136.67589675,138.23764623
2019,5,23,139.62900000,139.71300000,138.52500000,138.71500000,100206,0.99857465,139.39268586,140.98547918,142.96390527,145.18531208,132.53304311,134.59237273,136.48108541,138.04060885
2019,5,22,140.34300000,140.69700000,139.31200000,139.63100000,103896,1.00660347,140.31316094,141.91647221,143.90796278,146.14403858,133.40822076,135.48114910,137.38233383,138.95215553
2019,5,21,140.00700000,141.72700000,139.64500000,140.37900000,96401,1.00535698,141.06481526,142.67671543,144.67887437,146.92692877,134.12288548,136.20691844,138.11828777,139.69651897
2019,5,20,140.17600000,140.52500000,139.69700000,140.00700000,109591,0.99735003,140.69099787,142.29862656,144.29547983,146.53757696,133.76746399,135.84597433,137.75227859,139.32632753
2019,5,17,140.52000000,140.67700000,139.54200000,139.92200000,96605,0.99939289,140.60558260,142.21223528,144.20787624,146.44861217,133.68625209,135.76350054,137.66864746,139.24174077
2019,5,16,140.72700000,140.78500000,140.19900000,140.52000000,108633,1.00427381,141.20650411,142.82002331,144.82419326,147.07450567,134.25760169,136.34372790,138.25701706,139.83683347
2019,5,15,141.41600000,141.64000000,140.19900000,140.72600000,98485,1.00146598,141.41351051,143.02939511,145.03650314,147.29011446,134.45442111,136.54360556,138.45969957,140.04183196
2019,5,14,141.61800000,142.17200000,141.36000000,141.41500000,111153,1.00489604,142.10587659,143.72967262,145.74660753,148.01125262,135.11271522,137.21212839,139.13760367,140.72748225
2019,5,13,142.61300000,142.86400000,141.19800000,141.61900000,124758,1.00144256,142.31087322,143.93701168,145.95685615,148.22476813,135.30762378,137.41006549,139.33831838,140.93049046
