Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,0.88411000,0.88622000,0.88253000,0.88482000,61966,1.00000000,0.88586749,0.88832759,0.89138130,0.89480936,0.87494216,0.87830700,0.88132626,0.88377375
2019,6,6,0.88723000,0.88976000,0.88390000,0.88404000,64095,0.99911846,0.88508656,0.88754449,0.89059551,0.89402055,0.87417087,0.87753274,0.88054934,0.88299467
2019,6,5,0.88424000,0.89193000,0.88415000,0.88719000,64965,1.00356319,0.88824029,0.89070698,0.89376887,0.89720611,0.87728570,0.88065955,0.88368691,0.88614095
2019,6,4,0.88614000,0.88732000,0.88412000,0.88449000,64941,0.99695668,0.88553710,0.88799628,0.89104885,0.89447563,0.87461585,0.87797943,0.88099757,0.88344414
2019,6,3,0.88230000,0.88777000,0.88212000,0.88614000,67718,1.00186548,0.88718905,0.88965282,0.89271109,0.89614426,0.87624743,0.87961728,0.88264105,0.88509219
2019,5,31,0.87853000,0.88534000,0.87809000,0.88370000,48302,0.99724648,0.88474616,0.88720315,0.89025299,0.89367671,0.87383466,0.87719524,0.88021069,0.88265508
2019,5,30,0.87995000,0.88146000,0.87672000,0.87850000,56983,0.99411565,0.87954001,0.88198253,0.88501443,0.88841801,0.86869272,0.87203352,0.87503122,0.87746122
2019,5,29,0.88143000,0.88372000,0.87879000,0.87986000,51003,1.00154809,0.88090162,0.88334792,0.88638452,0.88979336,0.87003753,0.87338351,0.87638585,0.87881962
2019,5,28,0.87945000,0.88325000,0.87926000,0.88236000,25907,1.00284136,0.88340458,0.88585783,0.88890306,0.89232158,0.87250962,0.87586511,0.87887598,0.88131666
2019,5,27,0.88013000,0.88126000,0.87894000,0.87943000,48549,0.99667936,0.88047111,0.88291622,0.88595133,0.88935850,0.86961233,0.87295667,0.87595755,0.87839012
2019,5,24,0.87794000,0.88240000,0.87769000,0.88018000,53045,1.00085283,0.88122199,0.88366919,0.88670689,0.89011697,0.87035396,0.87370115,0.87670458,0.87913924
2019,5,23,0.87181000,0.87944000,0.87167000,0.87760000,45159,0.99706878,0.87863894,0.88107897,0.88410776,0.88750784,0.86780276,0.87114014,0.87413477,0.87656229
2019,5,22,0.87190000,0.87283000,0.86899000,0.87180000,48158,0.99339107,0.87283207,0.87525597,0.87826475,0.88164236,0.86206751,0.86538284,0.86835767,0.87076915
2019,5,21,0.87698000,0.87820000,0.87133000,0.87178000,40975,0.99997706,0.87281205,0.87523589,0.87824460,0.88162214,0.86204774,0.86536298,0.86833775,0.87074917
2019,5,20,0.87724000,0.87918000,0.87655000,0.87685000,51611,1.00581569,0.87788805,0.88032599,0.88335220,0.88674938,0.86706114,0.87039566,0.87338773,0.87581318
2019,5,17,0.87936000,0.88226000,0.87579000,0.87720000,44531,1.00039916,0.87823847,0.88067738,0.88370479,0.88710333,0.86740723,0.87074309,0.87373635,0.87616276
2019,5,16,0.88140000,0.88318000,0.87885000,0.87924000,49678,1.00232558,0.88028088,0.88272547,0.88575992,0.88916636,0.86942445,0.87276807,0.87576830,0.87820035
2019,5,15,0.88474000,0.88533000,0.88096000,0.88142000,43250,1.00247941,0.88246346,0.88491411,0.88795609,0.89137097,0.87158012,0.87493203,0.87793969,0.88037777
2019,5,14,0.88429000,0.88768000,0.88416000,0.88468000,52760,1.00369858,0.88572732,0.88818703,0.89124026,0.89466778,0.87480372,0.87816803,0.88118682,0.88363392
2019,5,13,0.88432000,0.88607000,0.88303000,0.88439000,67354,0.99967220,0.88543698,0.88789588,0.89094811,0.89437450,0.87451696,0.87788016,0.88089796,0.88334426
